,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
786,51611,Miguel Rojas,2010,643,1892,1728,454,165.0,15.0,189,20,602,115,102.0,13.0,21.0,0,0,98,73,98,416,1,0,0,1,0,19.0,11.0,rojasmi02,51611,5.659217999999999,MIA
787,51943,Jason Donald,2010,170,603,552,142,43.0,3.0,70,7,200,34,32.0,2.0,9.0,0,0,0,68,16,73,5,3,0,8,2,12.0,3.0,donalja01,51943,-0.14339399000000005,CLE
788,54877,Andrew Romine,2010,581,1323,1198,282,81.0,4.0,149,10,360,82,81.0,1.0,13.0,7,1,75,87,160,188,24,48,14,86,3,40.0,11.0,rominan01,54877,1.5425017,DET
789,55752,Zack Cozart,2010,839,3388,3088,764,305.0,30.0,408,87,1231,219,210.0,9.0,28.0,0,0,0,17,66,741,0,0,0,0,2,21.0,4.0,cozarza01,55752,13.6545655,CIN
790,56761,Jean Segura,2010,1045,4440,4135,1181,376.0,19.0,563,76,1680,214,196.0,18.0,46.0,0,0,0,142,0,905,0,0,0,0,0,181.0,60.0,segurje01,56761,23.348980100000002,MIL
791,56850,Ruben Tejada,2010,663,2396,2119,530,158.0,15.0,225,10,672,202,180.0,22.0,36.0,1,0,0,128,50,476,0,0,0,0,0,16.0,11.0,tejadru01,56850,8.166628239999998,NYM
792,57278,Starlin Castro,2010,1470,6170,5773,1617,636.0,43.0,664,133,2390,309,278.0,31.0,38.0,0,0,0,564,45,850,0,0,0,0,2,89.0,51.0,castrst01,57278,17.826753,CHC
793,57302,Freddy Galvis,2010,951,3685,3424,849,370.0,21.0,365,88,1316,201,187.0,14.0,14.0,0,0,0,126,27,768,11,1,0,12,5,55.0,20.0,galvifr01,57302,6.716058,PHI
794,57426,Pete Kozma,2010,341,813,735,158,62.0,6.0,89,5,214,63,52.0,11.0,3.0,0,0,5,43,34,235,2,0,0,2,1,8.0,4.0,kozmape01,57426,3.4009011,STL
795,57758,Brandon Crawford,2010,1251,4718,4230,1055,536.0,47.0,483,98,1647,398,335.0,63.0,37.0,0,0,0,0,0,1221,0,0,0,0,0,31.0,28.0,crawfbr01,57758,19.06353,SFG
