,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1208,30142,Tom Underwood,1970,9944,49,59,3,946.0,481,426,4098,3595.0,952,77,1415.0,409,390,19,19.0,577,30142,underto01,3.5098184000000012,PHI
1209,30142,Tom Underwood,1980,9945,37,28,15,640.0004,291,259,2716,2396.0,602,53,902.0,253,234,19,9.0,371,30142,underto01,4.8916561,OAK
1210,30158,Tom Urbani,1990,9954,10,17,0,260.3334,164,144,1161,1044.0,316,38,503.0,86,80,6,7.0,149,30158,urbanto01,2.30345,STL
1211,30194,Russ Van Atta,1930,9971,33,41,6,712.3337,498,443,3291,0.0,838,39,0.0,368,368,0,10.0,339,30194,vanatru01,2.0000000000000004,SLB
1212,30199,Chris Van Cuyk,1950,9973,7,11,1,160.3333,99,92,704,124.0,170,19,47.0,63,63,0,10.0,103,30199,vancuch01,1.5675013999999998,BRO
1213,30206,George Van Haltren,1880,9978,24,20,2,406.667,262,165,1779,0.0,440,23,0.0,126,126,0,29.0,215,30206,vanhage01,2.4000000000000004,CHC
1214,30206,George Van Haltren,1890,9979,16,11,2,273.6667,255,143,0,0.0,356,11,0.0,109,109,0,27.0,64,30206,vanhage01,-0.7000000000000001,NYG
1215,30217,Ed Vande Berg,1980,9989,25,28,22,518.9996,252,226,2262,2010.0,572,52,843.0,200,165,35,5.0,314,30217,vandeed01,-0.7996767000000002,SEA
1216,30219,Johnny Vander Meer,1930,9992,23,24,0,438.6663,206,181,1921,0.0,368,19,0.0,267,267,0,7.0,279,30219,vandejo01,3.3999999999999995,CIN
1217,30219,Johnny Vander Meer,1940,9993,93,92,1,1589.333,657,587,6758,0.0,1363,71,0.0,805,805,0,12.0,972,30219,vandejo01,23.4,CIN
