,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
425,29770,Birdie Tebbetts,1940,13613,767,2840,2519,684,300.0,0.0,237,19,881,288,0.0,0.0,7,0,742,0,0,0,0,0,0,0,0,0,25,18.0,tebbebi01,29770,5.3
426,29784,Gene Tenace,1970,19745,1229,4652,3721,911,576.0,32.0,555,171,1609,805,761.0,44.0,74,0,697,573,6,17,0,1,0,9,10,6,31,36.0,tenacge01,29784,39.6
427,29934,Bob Tillman,1960,15724,704,2340,2106,487,252.0,13.0,170,68,774,208,179.0,29.0,5,0,655,0,0,0,0,0,0,0,0,0,1,0.0,tillmbo01,29934,2.220446049250313e-16
428,29961,Al Todd,1930,15484,732,2486,2353,664,323.0,0.0,253,29,911,92,0.0,0.0,17,0,631,0,0,0,0,2,0,0,2,0,17,0.0,toddal01,29961,5.6000000000000005
429,29993,Joe Torre,1960,19645,1196,4777,4302,1261,653.0,28.0,542,160,1978,400,344.0,56.0,41,0,813,388,0,0,0,2,0,0,2,0,10,21.0,torrejo01,29993,36.3
430,30040,Mike Tresh,1940,19445,898,3169,2788,690,257.0,0.0,274,2,788,330,0.0,0.0,9,0,890,0,0,0,0,0,0,0,0,0,16,19.0,treshmi01,30040,3.1999999999999997
431,30042,Alex Trevino,1980,19845,796,2356,2125,526,211.0,17.0,215,22,711,177,150.0,27.0,15,0,662,3,6,25,0,4,0,2,6,0,17,8.0,trevial01,30042,7.4
432,30044,Gus Triandos,1950,13692,683,2573,2270,574,383.0,21.0,245,108,985,254,226.0,25.0,11,0,508,167,0,1,0,0,0,0,0,0,1,0.0,triangu01,30044,11.100000000000001
433,30044,Gus Triandos,1960,11775,523,1853,1637,380,225.0,11.0,144,59,629,186,162.0,24.0,10,0,484,1,0,0,0,0,0,0,0,0,0,0.0,triangu01,30044,3.0
434,30289,Ozzie Virgil,1980,19845,736,2550,2253,549,307.0,12.0,258,98,939,248,227.0,21.0,29,0,675,0,0,0,0,0,0,0,0,6,4,5.0,virgioz02,30289,9.0
435,30333,Hal Wagner,1940,17500,633,2033,1753,437,220.0,0.0,169,15,592,245,0.0,0.0,14,0,590,0,0,0,0,0,0,0,0,0,10,6.0,wagneha01,30333,3.9000000000000012
436,30383,Rube Walker,1950,17586,473,1380,1242,271,144.0,11.0,86,27,413,117,30.0,12.0,3,0,379,0,0,0,0,0,0,0,0,0,3,1.0,walkeru01,30383,-2.4
437,30483,John Warner,1900,17136,643,2206,2028,485,157.0,0.0,180,3,587,93,0.0,0.0,48,0,613,1,0,0,0,0,0,0,0,0,37,0.0,warnejo01,30483,10.3
438,30513,John Wathan,1980,11895,621,2172,1955,507,179.0,7.0,237,15,655,182,175.0,7.0,9,0,470,92,0,0,0,26,0,36,62,0,99,32.0,wathajo01,30513,4.0
439,30565,Lenny Webster,1990,19945,534,1507,1349,345,170.0,4.0,148,33,516,131,127.0,4.0,12,0,482,0,0,0,0,0,0,0,0,8,1,3.0,webstle01,30565,4.2
440,30654,Wes Westrum,1950,15628,783,2483,2016,437,269.0,8.0,264,85,755,432,50.0,9.0,17,0,775,0,0,1,0,0,0,0,0,0,6,5.0,westrwe01,30654,12.2
441,30721,Sammy White,1950,17595,981,3617,3342,881,404.0,21.0,316,63,1272,214,121.0,27.0,11,0,967,0,0,0,0,0,0,0,0,0,14,15.0,whitesa02,30721,2.0
442,30751,Ernie Whitt,1980,19845,1193,3927,3469,881,512.0,34.0,420,131,1465,400,358.0,42.0,4,0,1144,0,0,0,0,0,0,0,0,8,22,24.0,whitter01,30751,19.4
443,30795,Rick Wilkins,1990,17955,704,2398,2081,508,266.0,21.0,274,80,856,274,232.0,42.0,13,0,640,17,0,0,0,0,0,0,0,3,9,12.0,wilkiri01,30795,14.000000000000004
444,30827,Earl Williams,1970,15788,889,3431,3058,756,457.0,31.0,361,138,1297,298,267.0,31.0,32,0,456,327,0,66,0,0,0,0,0,48,2,5.0,williea02,30827,7.800000000000001
445,30856,Rip Williams,1910,13399,497,1351,1186,314,145.0,0.0,111,2,417,95,0.0,0.0,17,0,212,144,0,2,0,0,1,5,6,0,27,8.0,williri01,30856,4.800000000000001
446,30894,Art Wilson,1910,19145,774,2372,1994,525,221.0,0.0,233,24,733,287,0.0,0.0,14,0,715,2,0,0,0,0,0,0,0,0,50,5.0,wilsoar01,30894,14.700000000000001
447,30923,Jimmie Wilson,1920,13482,767,2748,2464,716,329.0,0.0,306,22,950,209,0.0,0.0,9,0,702,2,0,0,0,1,1,1,3,0,46,9.0,wilsoji01,30923,7.199999999999999
448,30923,Jimmie Wilson,1930,19345,742,2464,2277,633,289.0,0.0,272,10,809,145,0.0,0.0,9,0,633,7,3,0,0,0,0,0,0,0,39,0.0,wilsoji01,30923,3.9999999999999996
449,30934,Red Wilson,1950,17595,525,1788,1543,407,165.0,13.0,184,22,566,193,120.0,18.0,7,0,505,0,0,0,0,0,0,0,0,0,22,12.0,wilsore01,30934,5.6
450,30962,Ivey Wingo,1910,17235,852,2798,2564,658,274.0,0.0,249,15,920,166,0.0,0.0,6,0,771,5,0,0,0,6,1,5,12,0,74,22.0,wingoiv01,30962,14.899999999999999
451,30962,Ivey Wingo,1920,15390,475,1574,1439,381,181.0,0.0,113,10,503,98,0.0,0.0,4,0,462,1,2,0,0,1,0,0,1,0,13,14.0,wingoiv01,30962,3.1999999999999993
452,31054,Larry Woodall,1920,19245,548,1519,1317,353,161.0,0.0,161,1,438,159,0.0,0.0,1,0,484,0,0,0,0,0,0,0,0,0,16,4.0,woodala01,31054,3.0
453,31134,Butch Wynegar,1970,7910,577,2356,2024,518,250.0,16.0,244,31,708,268,249.0,19.0,12,0,556,0,0,2,0,0,0,0,0,17,5,5.0,wynegbu01,31134,13.1
